Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,1749,0,664,592,pos,neg,neg,neg,neg,neg,neg,pos,CTL,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1736,0,610,586,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1739,0,615,587,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1781,0,613,599,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,1768,0,582,598,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1796,0,575,607,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1738,0,534,586,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1748,0,519,590,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1765,0,547,595,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1780,0,509,602,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1803,0,510,606,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
