Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Other,64,0,1314,22,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Other,82,0,1291,28,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Other,72,0,1287,27,neg,neg,pos,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Other,90,0,1286,31,neg,neg,pos,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Epithelial,99,0,1248,37,neg,neg,pos,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Epithelial,125,0,1251,41,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Epithelial,21,0,1201,12,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Epithelial,78,0,1206,30,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Epithelial,86,0,1199,31,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,23
C:\Users\Sam\Documents\Normal Pancreas - TMAs,23_1.im3,Epithelial,124,0,1212,46,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,23
