Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,18,0,1224,10,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,91,0,1195,19,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,371,0,407,57,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,397,0,414,63,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,427,0,401,67,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,434,0,395,67,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,444,0,379,69,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,455,0,390,70,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,406,0,333,63,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,407,0,339,63,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,440,0,350,69,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,461,0,340,72,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,362,0,305,59,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,363,0,317,58,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,396,0,285,62,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,405,0,311,63,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,426,0,314,67,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,460,0,316,74,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,464,0,295,72,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,465,0,303,73,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Tcell,355,0,233,56,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Epithelial,370,0,264,58,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Tcell,420,0,245,66,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,APC,439,0,256,67,neg,neg,neg,pos,neg,pos,neg,neg,APC,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Tcell,463,0,240,72,pos,neg,neg,neg,neg,neg,neg,pos,CTL,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,376,0,220,59,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,403,0,186,62,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Tcell,404,0,223,63,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,433,0,206,66,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,454,0,185,71,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
C:\Users\Sam\Documents\Normal Pancreas - TMAs,463_1.im3,Other,343,0,164,56,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,463
